"","X","if.bias","pi.bias","if2.bias","pi2.bias","delta"
"107",7,0.143395626714839,0.0255229260259325,0.140750587335321,0.0637137331705303,1
"108",8,-0.0372382715157756,-0.0448194679176868,-0.0693829332405572,-0.0326094305972765,1
"109",9,0.0811966162496021,-0.00638443502743916,0.0673597526428336,-0.0175108869368071,1
"110",10,-0.0620486842539714,-0.0940334614568179,-0.0419587018617011,-0.0391716221473891,1
"111",11,-0.0743341016846529,-0.0562977218029807,-0.0730126928549371,-0.0378676417574124,1
"112",12,0.0256270942411463,-0.0132908583300143,0.099377077686149,0.0756919819010005,1
"113",13,-0.0373330881196298,-0.000591692333204746,-0.0876201783965968,0.0238339271962561,1
"114",14,-0.0616980287700122,-0.0855924600722857,-0.095428742367442,-0.0488642568814595,1
"115",15,-0.0579191484803652,-0.0533939003964068,-0.0174275059279187,0.0154234638346877,1
"116",16,-0.158014448762853,-0.0782534060920961,-0.111793291204702,-0.0313902538468759,1
"117",17,-0.0540250635316077,-0.00490919235892628,-0.035418177655693,-0.000863312748670214,1
"118",18,-0.090659653805394,0.0142159447433347,-0.122430660015439,-0.0184732019487815,1
"119",19,-0.146498103351432,-0.0749516987662189,-0.114265346214958,-0.0209440165319249,1
"120",20,-0.169258155741153,-0.0727688482940239,-0.164354640856004,-0.0317586786555321,1
"121",21,0.172914432368591,-0.0180788975590101,0.0731457871979326,-0.000328622535611053,1
"122",22,0.163512415023314,-0.0377326765546751,0.184964929774155,0.0389835116368893,1
"123",23,-0.0796207242932714,-0.0601199813660967,-0.0653378235511736,-0.0203698635007322,1
"124",24,0.0193146090773521,0.0375214683380484,0.00877646415583089,0.0378054793871378,1
"125",25,-0.0412733305008721,-0.127638387634623,-0.0193688952295418,-0.0552531336962096,1
"126",26,-0.0307587602386672,-0.0676747682179722,-0.0285494244423987,-0.0507898814898932,1
"127",27,-0.00522600671767864,-0.0488070492825153,-0.0300892571382708,-0.0454771373168741,1
"128",28,0.0282894354292223,-0.00482430641436468,0.0188879167849572,0.0158465310441692,1
"129",29,-0.182432007710943,-0.0846931367573354,-0.173154781117301,-0.0228416052847785,1
"130",30,-0.0177298514302447,-0.031682521090556,-0.0161611493259392,-0.010649439032307,1
"131",31,-0.0086690340906751,-0.0274619120710022,0.0387911476227916,0.0167191576778289,1
"132",32,-0.0842660426819255,-0.0655908410175851,-0.107952402502028,-0.0418220315726211,1
"133",33,0.0875309992050784,0.00387059240280258,0.0383982695864597,-0.0237745489981241,1
"134",34,0.162755917117517,0.0242939286683208,0.138676378509478,0.0139061378091085,1
"135",35,-0.00529164007754701,-0.0839224121368776,0.0655429122072126,0.0163934654813905,1
"136",36,0.0617436916384884,-0.0371146210993266,0.019350110319218,-0.011815977092991,1
"137",37,-0.240173596158393,-0.168074556055841,-0.138997990459782,-0.0514353329147876,1
"138",38,-0.131483897909988,-0.0297999533853544,-0.119873106916886,-0.0305541584728413,1
"139",39,0.204683272228408,0.0187904585678505,0.158440562228323,0.0300065728066906,1
"140",40,0.0950348372100153,0.0493891060081699,0.0183824666126821,-8.40042070277295e-06,1
"141",41,-0.039121398748285,-0.00200666525908638,0.0133268489374475,0.0337582553868455,1
"142",42,-0.0774675020059729,0.00213706453024926,-0.0738271317516817,0.0160034661494436,1
"143",43,0.032813047652571,-0.0611679162112862,0.0880374412137438,0.0100659316975735,1
"144",44,-0.0223505126785653,-0.00173751286059221,0.0297046074111274,0.0347001236861091,1
"145",45,0.0327164665605462,-0.0331429050225943,0.0675275158152302,0.0134243771620533,1
"146",46,0.065866813259576,-0.0762711449492879,0.11308690302664,-0.00852968455721038,1
"147",47,-0.0444587610388465,-0.0593423692524244,-0.0318935799451827,-0.0103052739942592,1
"148",48,-0.120314751270772,0.00980945042108833,-0.0513548827750007,0.0269513643045852,1
"149",49,0.0489061509176597,-0.11435188335315,0.0735124789181442,-0.0692678383139005,1
"150",50,0.0176467974086138,-0.0233010962685942,0.0959792603138755,0.00996880158913196,1
"151",51,-0.0321424909360419,-0.0677756446739031,0.0181799392973226,0.0153001685843692,1
"152",52,-0.0635930546877798,-0.101628731586312,-0.0411342689654249,-0.0477066395748398,1
"153",53,-0.0234800073232177,-0.0172999361370755,-0.0325422402919799,-0.0171628678528579,1
