"","true.eff","delta","IF","PI"
"77",2,1,2.02570041681789,2
"78",2,1,2.13571911782707,2
"79",2,1,1.98931230378658,2
"80",2,1,2.07297668153012,2
"81",2,1,1.97097535284556,2
"82",2,1,2.10258460849672,2
"83",2,1,1.93552662440552,2
"84",2,1,2.08758010095126,2
"85",2,1,1.94039245782605,2
"86",2,1,2.07622945572343,2
"87",2,1,2.03346972770657,2
"88",2,1,2.06494208348616,2
"89",2,1,2.08367930880404,2
"90",2,1,2.03218768101647,2
"91",2,1,2.05855773240344,2
"92",2,1,2.1154916471767,2
"93",2,1,1.97968040664065,2
"94",2,1,2.01981466493647,2
"95",2,1,1.94674550711212,2
"96",2,1,1.7934679451709,2
"97",2,1,2.10840511530027,2
"98",2,1,2.06174208953466,2
"99",2,1,2.00244856449997,2
"100",2,1,2.08767041207617,2
"101",2,2,2.07429724629899,2
"102",2,2,2.0016344622624,2
"103",2,2,1.96760910365371,2
"104",2,2,1.95956935771821,2
"105",2,2,2.03808952899111,2
"106",2,2,2.00876502087199,2
"107",2,2,1.9535989953075,2
"108",2,2,1.99851190273539,2
"109",2,2,2.02191586075685,2
"110",2,2,2.11076701070796,2
"111",2,2,1.98669405277546,2
"112",2,2,2.03657202301094,2
"113",2,2,1.96723303162257,2
"114",2,2,1.92036548139791,2
"115",2,2,2.04778590176649,2
"116",2,2,1.96988256606794,2
"117",2,2,1.97686312120957,2
"118",2,2,2.0099722086731,2
"119",2,2,1.91924956995528,2
"120",2,2,1.98832051214132,2
"121",2,2,1.98377802842161,2
"122",2,2,2.00391001959038,2
"123",2,2,1.94447751473253,2
"124",2,2,2.04808023586499,2
"125",2,2,2.02506718516427,2
"126",2,2,1.98937299135477,2
"127",2,2,2.01705352575024,2
"128",2,2,1.99950979121524,2
"129",2,2,2.02615478454583,2
"130",2,2,2.04169879897877,2
"131",2,2,1.98664746661209,2
"132",2,2,1.95254390985064,2
"133",2,2,1.98707874756121,2
"134",2,2,2.07275031227708,2
"135",2,2,1.92084304155067,2
"136",2,2,2.06379941007464,2
"137",2,2,2.00594862389518,2
"138",2,2,2.09496871083911,2
"139",2,2,2.02610643960191,2
"140",2,2,1.952022778817,2
"141",2,2,2.13058634769432,2
"142",2,2,1.92549030397521,2
"143",2,2,2.04267926041581,2
"144",2,2,2.07060256831157,2
"145",2,2,1.97433914882297,2
"146",2,2,2.00506610828651,2
"147",2,2,2.04672449098692,2
"148",2,2,1.97918115088855,2
"149",2,2,2.04125341913637,2
"150",2,2,1.97338539779409,2
"151",2,2,2.03573220361668,2
"152",2,2,1.98139262296941,2
"153",2,2,2.05371824270569,2
"154",2,2,1.93275658899216,2
"155",2,2,1.91761953403473,2
"156",2,2,1.94599047853581,2
"157",2,2,2.01622458448527,2
"158",2,2,1.94021817280977,2
"159",2,2,1.9627283392067,2
"160",2,2,2.12246260954157,2
"161",2,2,2.1481326301721,2
"162",2,2,2.0092432965452,2
"163",2,2,2.02913086459708,2
"164",2,2,1.90912847192814,2
"165",2,2,2.0634873394488,2
"166",2,2,2.11945998441188,2
"167",2,2,2.05310950810254,2
"168",2,2,2.07369907167328,2
"169",2,2,1.97221325671952,2
"170",2,2,1.92583134678556,2
"171",2,2,1.93519916975077,2
"172",2,2,1.97543812633019,2
"173",2,2,2.03215695342223,2
"174",2,2,2.07791457896719,2
"175",2,2,2.03913577768957,2
"176",2,2,1.99583864758236,2
"177",2,2,2.08218677205172,2
"178",2,2,1.97967677250564,2
"179",2,2,1.98838496577522,2
"180",2,2,1.98923373973203,2
"181",2,2,2.02320908741046,2
"182",2,2,2.07016289301618,2
"183",2,2,1.97623398020185,2
"184",2,2,1.94775762664198,2
"185",2,2,1.98934306223316,2
"186",2,2,1.99827268136544,2
"187",2,2,1.97437254248391,2
"188",2,2,1.94627603263335,2
"189",2,2,2.02304064511584,2
"190",2,2,2.05598357632214,2
"191",2,2,2.00708643264842,2
"192",2,2,1.99616724050247,2
"193",2,2,1.99982851995059,2
"194",2,2,1.88231610299624,2
"195",2,2,1.94888453560548,2
"196",2,2,2.07334991931045,2
"197",2,2,1.99894510655096,2
"198",2,2,2.04011189839022,2
"199",2,2,1.88766649250542,2
"200",2,2,1.94972259297527,2
"201",2,3,1.97444115580633,2
"202",2,3,1.85452031576248,2
"203",2,3,1.98689801307964,2
"204",2,3,1.9140016388393,2
"205",2,3,2.07415142113963,2
"206",2,3,1.96289139897037,2
"207",2,3,2.0718291002642,2
"208",2,3,2.11755077195881,2
"209",2,3,1.86951805483294,2
"210",2,3,1.98795228644335,2
"211",2,3,2.03037810673848,2
"212",2,3,2.02370972582584,2
"213",2,3,2.0604096865071,2
"214",2,3,1.97551054840823,2
"215",2,3,1.88014567306657,2
"216",2,3,2.07233619366822,2
"217",2,3,1.9833379504925,2
"218",2,3,2.05853026734568,2
"219",2,3,1.98753065357898,2
"220",2,3,2.02957958515456,2
"221",2,3,2.03732985629067,2
"222",2,3,2.00227435069767,2
"223",2,3,2.03110939065131,2
"224",2,3,2.02325867344258,2
"225",2,3,2.04753162777795,2
"226",2,3,1.9714441672554,2
"227",2,3,1.94725906323258,2
"228",2,3,1.96448618813928,2
"229",2,3,2.0223005428893,2
"230",2,3,1.94073191609569,2
"231",2,3,2.04007464727135,2
"232",2,3,1.9630739297264,2
"233",2,3,1.99924761011511,2
"234",2,3,1.90318849745112,2
"235",2,3,1.92056295607289,2
"236",2,3,2.0562866881709,2
"237",2,3,2.08618077623726,2
"238",2,3,2.0215625910586,2
"239",2,3,2.0745026460648,2
"240",2,3,1.97652171463472,2
"241",2,3,2.02821094079408,2
"242",2,3,2.05610649702062,2
"243",2,3,1.872403920404,2
"244",2,3,2.05900022476498,2
"245",2,3,1.9002291562036,2
"246",2,3,2.10568487815915,2
"247",2,3,2.03479206632348,2
"248",2,3,2.09654292114038,2
"249",2,3,1.98230656972135,2
"250",2,3,2.00286645009435,2
"251",2,3,2.06933177139488,2
"252",2,3,2.01187196371452,2
"253",2,3,1.98079171811807,2
"254",2,3,2.01211372377251,2
"255",2,3,1.94097697214638,2
"256",2,3,2.02541429087233,2
"257",2,3,1.98731094487608,2
"258",2,3,2.01763877825851,2
"259",2,3,2.00745263052402,2
"260",2,3,2.02469659232861,2
"261",2,3,1.94605642811651,2
"262",2,3,2.13214856680395,2
"263",2,3,1.89593800392009,2
"264",2,3,2.00390799849871,2
"265",2,3,2.03933869906036,2
"266",2,3,2.03314716637203,2
"267",2,3,2.02335553077144,2
"268",2,3,1.92454233967597,2
"269",2,3,2.06395249857672,2
"270",2,3,1.94090711254207,2
"271",2,3,2.08255034376092,2
