"true.eff","delta","IF","PI","IF.sd","PI.sd"
2,1,2.14308970138314,2.16822317175549,0.0347425343138313,0.0691561894478967
2,1,1.93213455648026,1.9333307276778,0.0341540225071795,0.0660922740649374
2,1,1.96904778449096,1.96401630948688,0.03157349068876,0.066819945318428
2,1,2.06654903578829,2.05300963547595,0.0337642038999241,0.0689380135808568
2,1,2.01498426374763,2.0062583628564,0.0332694943579388,0.0679278757081972
2,1,1.90027870603618,1.94542130191157,0.0313354785600062,0.0654259037763721
2,1,2.06545876217454,2.07656805185781,0.0340969441991214,0.0691244567332052
2,1,1.99336541053683,1.95150323820801,0.0327756570700981,0.0643765043099268
2,1,1.96245940868244,1.92435482552992,0.0325196718606305,0.0673829268342705
2,1,2.01867948795145,2.01093568073101,0.0337132522302672,0.0655155887079067
2,1,2.01670656988673,2.07120470732972,0.0334115905554294,0.0662777155168293
2,1,1.91473066890698,1.94670556226063,0.0335472643647924,0.065837604171624
2,2,1.96012493823099,1.96983095131769,0.0266008065705359,0.0599559297296384
2,2,2.01007503020084,2.03284874266061,0.0276835661091865,0.0619123250415581
2,2,2.00161253841658,1.99392810264215,0.0267420432231654,0.0614493225026396
2,2,1.98891581742426,1.95800473845411,0.0263714978897895,0.0593780652233545
2,2,1.99450580124774,2.01554883814922,0.0267838703471308,0.0599500345698784
2,2,2.04635287087636,2.00839556709154,0.0262554898830844,0.0614405642471081
2,2,2.04456148361471,2.05146916197708,0.0265815842853991,0.0615169331138118
2,2,2.08711296019814,2.11278190970524,0.0266444697721171,0.0637310129633845
2,2,2.07699728259117,2.04887077371217,0.0273845187124227,0.0610503493473555
2,2,1.97674424115385,1.95923272917594,0.027108986625385,0.0618852301087058
2,2,2.01507999949307,2.02118810450634,0.0271713703771431,0.0614155718859743
2,2,1.96572793090858,1.95689526687169,0.0264481058762661,0.0619407255916074
2,2,2.03996407088232,2.04851075956927,0.0265317623499442,0.0614567799480035
2,2,2.02649588533431,2.04322338876092,0.0263311927754129,0.0631661232150324
2,2,1.97815981482394,1.9846556473626,0.0260743716737867,0.0597595238746726
2,2,2.01144887891414,2.00378742833638,0.0260523764264414,0.0616580472020476
2,2,1.93486361181,1.92449306055152,0.0265785588371654,0.058463722652033
2,2,1.92843655441218,1.95218187750054,0.0260543892429738,0.0605903039618961
2,2,1.9940632987687,2.03131105602697,0.0268366968409525,0.0616881575453982
2,2,2.01943469916728,2.02963696836963,0.0283727343368085,0.0612303036815814
2,2,2.07043014514027,2.05512617018839,0.027987946433297,0.0608072047251168
2,2,2.03568576557005,1.99466877282805,0.0276093284102923,0.0598280072178977
2,2,2.00382471071352,1.96610131266134,0.0267481616667542,0.060653603520857
2,2,2.01333802859512,2.01252373285789,0.0269593696220883,0.0621353730037662
2,2,2.02943607310152,2.0444422493686,0.0266652415833244,0.0610559162236698
2,2,1.99093269135712,2.049261161616,0.0275017948747775,0.060876202794006
2,2,2.00157052590459,2.00006594667722,0.0277154949096955,0.059832588298107
